measure_date,year,month,day_name,day_of_week,city_name,vn_aqi,health_implication,dominant_pollutant,is_hazardous,data_quality_status,avg_aqi_owm,avg_pm2_5,max_pm2_5,avg_pm10,max_pm10,avg_co,avg_no2,avg_so2,avg_o3,avg_no,avg_nh3,record_count
2020-11-25,2020,11,Wednesday,4,Ho Chi Minh City,172,Unhealthy,PM2.5,false,Valid,4.83,111.04,236.96,144.7,301.6,2942.25,56.15,61.33,167.37,46.0,16.63,23
2020-11-26,2020,11,Thursday,5,Ho Chi Minh City,178,Unhealthy,PM2.5,false,Valid,4.75,119.33,258.95,153.5,326.15,2786.83,66.8,62.04,91.55,40.35,18.69,24
2020-11-27,2020,11,Friday,6,Ho Chi Minh City,217,Very Unhealthy,PM2.5,true,Valid,4.58,166.9,501.0,209.42,632.6,4193.19,76.1,80.91,75.82,69.76,30.03,24
2020-11-28,2020,11,Saturday,7,Ho Chi Minh City,97,Moderate,PM2.5,false,Valid,3.92,48.55,90.4,57.74,105.68,1267.28,49.24,44.19,77.96,12.22,8.58,24
2020-11-29,2020,11,Sunday,1,Ho Chi Minh City,85,Moderate,PM2.5,false,Valid,4.17,42.54,79.06,50.35,100.79,1092.59,25.71,25.21,48.64,10.37,6.36,24
2020-11-30,2020,11,Monday,2,Ho Chi Minh City,175,Unhealthy,PM2.5,false,Valid,4.67,115.28,245.09,133.61,289.78,2700.05,52.38,61.52,26.46,59.62,13.72,24
2020-12-01,2020,12,Tuesday,3,Ho Chi Minh City,177,Unhealthy,PM2.5,false,Valid,4.83,117.84,292.83,139.58,333.6,2636.35,47.14,59.96,55.08,62.43,12.88,24
2020-12-02,2020,12,Wednesday,4,Ho Chi Minh City,147,Poor,PM2.5,false,Valid,4.08,78.51,222.66,100.39,266.4,1882.28,57.52,65.59,108.72,32.0,13.26,24
2020-12-03,2020,12,Thursday,5,Ho Chi Minh City,70,Moderate,PM2.5,false,Valid,3.88,34.76,71.92,46.53,92.86,843.09,38.34,40.56,138.76,3.75,10.25,24
2020-12-04,2020,12,Friday,6,Ho Chi Minh City,151,Unhealthy,PM2.5,false,Valid,4.58,81.35,232.64,100.95,287.52,1614.97,50.35,43.31,148.77,10.03,13.1,24
2020-12-05,2020,12,Saturday,7,Ho Chi Minh City,80,Moderate,PM2.5,false,Valid,4.21,40.11,65.73,45.99,69.56,719.31,22.66,23.44,160.22,2.79,7.53,24
2020-12-06,2020,12,Sunday,1,Ho Chi Minh City,110,Poor,PM2.5,false,Valid,4.33,55.98,123.71,67.03,151.34,1081.19,43.83,38.38,167.37,3.56,10.9,24
2020-12-07,2020,12,Monday,2,Ho Chi Minh City,43,Good,PM2.5,false,Valid,2.75,21.7,42.44,27.93,51.15,715.14,36.9,40.66,55.08,3.9,8.85,24
2020-12-08,2020,12,Tuesday,3,Ho Chi Minh City,48,Good,PM2.5,false,Valid,3.21,24.11,33.64,29.13,38.64,643.37,28.92,30.83,66.52,0.86,6.19,24
